media_name,media_url,stories_id,title,url
Orlando Sentinel,http://www.orlandosentinel.com/,2446820468,"Come Out With Pride celebrates LGBTQ culture with 200,000-plus expected in Orlando",https://www.orlandosentinel.com/entertainment/events/os-et-come-out-with-pride-orlando-2022-parade-event-preview-20221013-gqkmacyyebcn7j4ibwubwcngny-story.html#ed=rss_www.orlandosentinel.com/arcio/rss/category/entertainment/
Hoy Chicago,http://www.chicagotribune.com/hoy/,2446853658,Daywatch: The Tylenol murders: Catch me if you can,https://www.chicagotribune.com/news/ct-aud-cb-daywatch-newsletter-oct13-20221013-66u6g65mr5dpnfqmuao27lh3km-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/
Chicago Tribune,http://www.chicagotribune.com/,2446856813,Daywatch: The Tylenol murders: Catch me if you can,https://www.chicagotribune.com/news/ct-aud-cb-daywatch-newsletter-oct13-20221013-66u6g65mr5dpnfqmuao27lh3km-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/
Fortune ,http://fortune.com,2446858774,The monkeypox vaccine is more widely available now. Are you eligible to get it?,https://fortune.com/well/2022/10/13/monkeypox-vaccine-eligibility-expanded/
foxbusiness.com,http://foxbusiness.com/,2446936241,"Biden's Transportation Dept. releases tips for building ‘equitable,’ ‘inclusive’ infrastructure",https://www.foxnews.com/politics/bidens-transportation-dept-releases-tips-building-equitable-inclusive-infrastructure
Daily Caller,http://dailycaller.com,2447005548,FACT CHECK: Is The Code Of Conduct Poster For The World Cup Real?,http://checkyourfact.com/2022/10/13/fact-check-poster-world-cup/
Fox News,http://www.foxnews.com/,2447028385,"Biden's Transportation Dept. releases tips for building ‘equitable,’ ‘inclusive’ infrastructure",https://www.foxnews.com/politics/bidens-transportation-dept-releases-tips-building-equitable-inclusive-infrastructure
Time,http://time.com,2447044927,We’re Heading for a Stagflationary Crisis Unlike Anything We’ve Ever Seen,https://time.com/6221771/stagflation-crisis-debt-nouriel-roubini/
time,http://www.time.com/time/,2447066129,We’re Heading for a Stagflationary Crisis Unlike Anything We’ve Ever Seen,https://time.com/6221771/stagflation-crisis-debt-nouriel-roubini/
media.oregonlive.com,http://media.oregonlive.com/#spider,2447086068,Health officials urge Oregonians to get new booster ahead of fall COVID surge,https://www.oregonlive.com/coronavirus/2022/10/health-officials-urge-oregonians-to-get-new-booster-ahead-of-fall-covid-surge.html
